reviewText,AspectTerm,Sentiment
This adapter is missing the 4 holes surrounding the horizontal slot. You can either drill them so the pins slide in them or find adapters and cables that will accommodate your need. I ended up drilling the holes and it works fine. [...],pins,neutral
Food was average and can be improved for a 5 star resort .,food_drinks quality,neutral
"But they taste pretty artificial , and the texture has no chew to it .",food quality,negative
My niece came to visit and says it is her favorite .,food general,positive
I bought these to get my wires off the ground away from my baseboard heaters.  Does the trick but glad that it's hidden for the most part.  Not the best looking raceway,baseboard heaters,neutral
"I ordered this stylus when I was just getting started with my Kindle as far as using it for games.  I've already replaced the tip once.  I think the styluses I just ordered will out this Bamboo to shame.  It may be fine for some, but maybe I am too much a bull in a china shop for this wimpy product.",Kindle,neutral
I selected these Slim Jim sticks to try because the Jack Links X - Sticks Bacon Cheddar flavor I usually buy was out of stock .,amazon availability,negative
We checked into our room and the stench of dog with potent cleaning solution smell practically knocked us over .,rooms cleanliness,negative
This is the only pesto mix that my kids like ! !,food general,positive
Maybe I just got couple of old ones or something but the 2 of this flavor that I tried were as hard as rocks .,food quality,negative
"The twin bed room was more spacious than the double room , the beds are easy enough to push together .",room_amenities general,neutral
"Neither has added ingredients , preservatives , or residual pesticides to my knowledge .",food quality,positive
"This model:- Read: Up to 170MB/sec- Write: Up to 35MB/secThe 80 GB X25-M G2- Read: Up to 250MB/sec- Write: Up to 70MB/secWrite speed isn't considered a strong point for the X25-M and this model has half its write speed. Personally, I'd invest in a faster SSD. The capacity vs. speed vs. price ratio of this product doesn't seem like it's a great value.",Write,neutral
"We had a standard room for four nights , and it was just what we needed , I understand that there are better rooms , but this was above what you normally get in this price range .",rooms prices,positive
the place is rundown and needs a good cleaning .,hotel general,negative
It works but the rubber grips inside the holder arms falls off because of sun heat melting the sticky side and the aux cord rubber is stripping from both ends.,rubber grips,neutral
"The standard room is not so big , but if you store your clothes in the closet and put your suitcases under the bed , you really feel like home !  !",rooms comfort,neutral
The antenna does not seem to work any better than the cheapo antenna that comes with the network card.  It is very long and can interfere with other connections from behind your computer.,network card,neutral
"I tried to put the room temperature regulation on , but the fan was really noisy , so i opted for an extra blanket .",rooms comfort,negative
"I agree with Cavalier , having bought 2 - 3 orders in Dec . 2009 , all of which were burnt .",food quality,negative
Delicious and full of flavor .,food quality,positive
It ' s good and filling for my child but when given to him by itself he doesn ' t like the flavor .,food quality,negative
"I needed another charger for my Kindle HD so I would have one at work and one at home. This was really inexpensive. The only thing is that when you use the wall charger, you can't use the Kindle. No problem if you don't intend on using it while it's charging.",charger,neutral
"The router works ok, but I had bought this to replace the previous two routers that were not doing the job and sadly this router did not provide the strong signal I was looking for.",router,neutral
"In addition , it was excessively oily .",food quality,negative
And I Love Hot Sauces . .,food general,positive
"I am happy with it, I fell I got my money's worth. I think the next generation could be refined though. When I am in the shower I want to change the volume, I sometimes turn it off instead of up or down because it hard to tell which button is which.",volume,neutral
"no complaints at this one , would definetly stay agai",hotel prices,neutral
"Royal Service is a joke , don ' t dare pay extra for it , you will be sorry , extra money for nothing , and don ' t drink the water .",hotel general,negative
