reviewText,Sentiment
"Windows 7 Starter is terrific (no you can't change the background) but I don't need to, I use it just for school work.",neutral
We paid and left because we didn't feel like arguing any more.,negative
I don't really have a complaint.,positive
They are loud and clunky but I figured I'd get used to it.,negative
Just wish there were more USB ports.,negative
"I'm glad I bought this laptop, it was worth the few ($100) extra dollars.",neutral
Frustrated I hung up and tried to call back 3 days later to be told that it takes 2-3 days for turnaround time.,negative
"Love the graphics, awesome programs (including Garageband), and really cool default background.",positive
"The laptop itself is very good, it could be better, but not bad at all for it's price point.",neutral
I've been impressed with the battery life and the performance for such a small amount of memory.,neutral
The OS is still as fast as the day that the laptop was purchased and continues to run flawlessly.,positive
"I really like the Mac 15.4in. Notebook, but its very pricey.",negative
It does not keep internet signals no matter where you bring it.,negative
"I upgraded the memory and replaced the base Windows 7 Starter to Win 7 Home, and it runs just fine.",neutral
"I love its solid build, light wt and excellent battery life (for now).",positive
Sauce was watery and the food didn't have much flavor.,negative
"Fabulous decor - makes you feel like you're in a trendy Manhattan restaurant, very very good food, cheaply-priced, generally friendly staff, and if you're a Manhattanite, or spend most of your time in Manhattan, Rice Avenue will make you feel at home.....very Soho/Village/Upper West Side minus the expensive prices and pretentious clientele.....all on Roosevelt Avenue!",positive
"Graphics are clean and sharp, internet interfaces are seamless.",positive
Sound card is limited though.,negative
The scallion pancakes and fried dumplings were nothing out of the ordinary.,neutral
so the fact that the computer does not work on the 24 twenty fourth day is my fault.,negative
"I have spent more than 2.5 hours on the phone with them (over 4 different calls), only to get no where.",negative
Well...they can run but they can't hide.,negative
"Also, the touchpad is almost 'sticky', which kind of defeats the purpose of a touchpad.",negative
"The improvements to the OS have been relatively gradual, but substantive.",positive
2nd Best computer in the world  only one way this computer might become the best is that it needs to upgreade patches  to make less easier for people to hack into,neutral
I highly recommend the restaurant based on our experience last night.,positive
"It hangs, freezes and just isn't working properly.",negative
I am happy i did the food was awsome.,positive
I would recomend this acer to parents and grandparents it can really help them in school.,positive
"Admittedly some nights inside the restaurant were rather warm, but the open kitchen is part of the charm.",negative
"The lesson learned here is: It does not pay to by this loyal to any brand, since all of them are there to simply  to make as much money as possible, as fast as they can, and in this day and age, the customer no longer is right all the times.",negative
Cords coming out the right for power plus cords coming out front for headphones/mic plus network connection on left make for a very messy setup with cords going every direction.,negative
Prices too high for this cramped and unappealing resturant.,negative
We were then shooed inside.,negative
the i3 processor doesn't seem to run hot and the fan rarely turns on.,positive
You cannot go wrong with this place.,positive
The right speaker did not work.,negative
Quite simply this is the best laptop I have ever owned.,positive
The one thing I wish it had was a detailed hardcopy manuel.,negative
THe perfect spot.,positive
So what you really end up paying for is the restaurant not the food.,neutral
Perfect trifecta!,positive
Great laptop from Apple!,positive
Didn't work when shipped from Walmart.com but went into a store and exchanged for a working laptop (same make/model).,neutral
"Overall, it's ok.",neutral
Still getting use to Window 8.,neutral
"Their calzones are horrific, bad, vomit-inducing, YUCK.",negative
"The processor went on me, the fan went and the motherboard went.",negative
But $500 for a dinner for two that didn't include Wine?,negative
You can get a table without a reservation if you get there early I they don't make you by bottles.,positive
"Only issue is that it is a little slow, and I'm fixing that by adding more RAM.",neutral
If this is an improvement in Customer Service then I would hate too see what it was before!,negative
"Well, this place is so Ghetto its not even funny.",negative
"If you go here, do it on his off-night.",negative
"I wish it had a webcam though, then it would be perfect!",positive
"It could be lighter, but couldn't everything.",neutral
Love the computer.,positive
"I prefer typing without having to see the keyboard but due the large touchpad, i always have to type cautiously as my hand might take me somewhere else.",negative
I really recommend the very simple Unda (Egg) rolls.,positive
Shame on this place for the horrible rude staff and non-existent customer service.,negative
I even installed a windows partition to be able to run Windows software.,positive
What you are paying for is the environment and the name.,neutral
"The tables are crammed way too close, the menu is typical of any Italian restaurant, and the wine list is simply overpriced.",neutral
This place survives on reputation alone.,negative
2nd Best computer in the world  only one way this computer might become the best is that it needs to upgreade patches  to make less easier for people to hack into,positive
Dealing with HP support is a ridiculous and painful experience.,negative
It had most of the features and all of the power that I wanted to replace my desktop machine.,positive
Can’t believe how an expensive NYC restaurant can be so disrespectful to its clients.,negative
The food is reliable and the price is moderate.,neutral
The processor a AMD Semprom at 2.1 ghz is a bummer it does not have the power for HD or heavy computing.,negative
"Seriously, save yourself the hassle and purchase from a different company.",negative
"It was slow, locked up, and also had hardware replaced after only 2 months!",negative
"Great, quick laptop for the money.",neutral
Prices are in line.,neutral
Don't expect it to be a champion performer so if you want to play games or whatever this is not the computer for you.,negative
The decor however seems to be the distraction so you won't notice that you just payed 300 bucks for some cold eggplant that took 2 FRICKIN HOURS TO COME!!!!,negative
The display is good quality.,positive
and its really cheap and you wont regret buying it.,positive
It drives me crazy when I want to download a game or something of that nature and I can't play it because its not compatable with the software.,negative
"Good spreads, great beverage selections and bagels really tasty.",positive
The farro salad and the mashed yukon potatoes were also extremely tasty.,positive
The reflectiveness of the display is only a minor inconvenience if you work in a controlled-lighting environment like me (I prefer it dark) or if you can crank up the brightness.,neutral
Has a built in camera which i do not use.,neutral
It is by far one of the greatest investments I have ever made.,positive
I will NEVER return.,negative
Moderate prices.,neutral
"I have reservations about the all you can eat deal, however -- the choices are fairly limited and you can probably order more food than you can eat for less than $18 by just going off the menu.",negative
They are asking me to ship the unit back to fix it at their site.,neutral
"Waited on getting this computer, but it has been a great change.",positive
Not what I would expect for the price and prestige of this location.,neutral
bottles of wine are cheap and good.,positive
"Probably not a gaming machine, which I have zero interest in.",neutral
"I love this computer, this is my first ever Mac (I'm 21) and it took a little while to switch over from the OS I was used to, but it was a fast learning curve.",neutral
Never been hacked.,positive
This product was DOA.,negative
I don't think I would go again.,negative
I regret buying it before understanding how awful it is to use.,negative
Friendly staff that actually lets you enjoy your meal and the company you're with.,positive
Traditional French decour was pleasant though the hall was rather noisy - the restaurant was full and we had to raise our voices to be able to maintain a conversation.,positive
The newer MacBook that I have purchased is one of the best computers.,positive
The mouse is a little bit different than what you're used to though- it has one big flat panel and one full bar (instead of two separate ones) to click with- but you get used to it quite quickly.,neutral
"great food, great wine list, great service in a great neighborhood...",positive
Additional caveat: the base installation comes with some Toshiba-specific software that may or may not be to a user's liking.,neutral
I have been going back again and again.,positive
"I love this computer, this is my first ever Mac (I'm 21) and it took a little while to switch over from the OS I was used to, but it was a fast learning curve.",positive
"There are several programs for school or office use (Pages, Numbers, Keynote, etc.), music (Garageband), photo management (Photo Booth, iPhoto), video-editing or movie-making (iMovie), etc.",neutral
I'm really impressed with the quality and performance for the price of the computer.,neutral
"The wait here is long for dim sum, but if you don't like sharing tables or if the typical raucous dim sum atmosphere is not your gig, this is a sleek (for Chinatown) alternative.",negative
everyone was cheerfully cooperative and helpful.,positive
Overall for the money this is a good deal.,neutral
"The service is ok, some of the people didn't get what they asked for.",neutral
"The food is outstanding and the service is quick, friendly and very professional.",positive
"I just love this lap top, I just wish it were all silver or they had all black.",neutral
"I was there for brunch recently, and we were tag teamed by a waitress and a waiter.",negative
The battery doesn't last long but I'm sure an upgrade battery would solve that problem.,neutral
"Food was just average...if they lowered the prices just a bit, it would be a bigger draw.",neutral
i would shop around for a better one.,negative
"If you're looking for something to fly through those massive spreadsheets or play a graphics-intensive game, you'd be better off getting a machine aimed at that segment of the market.",neutral
"From the spectacular caviar to the hospitable waitstaff, I felt like royalty and enjoyed every second of it.",positive
I have had to send in my laptop three times to get it fixed.,negative
